Work Order Entered Date,Week of Year,Display Sales Channel Group,Sales Channel Group,Sales Channel,Customer Region,Customer Sub Region (9),Customer Site,Employee Type Code,Completed Data Connects,Completed Data Connects (New Customers),Completed Video Connects,Completed Video Connects (New Customers)
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,Florida/Georgia,Macon,MN,4,3,0,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,Florida/Georgia,Macon,MO,2,2,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,Virginia,Northern Virginia,NF,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Oklahoma,Oklahoma City,OC,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Oklahoma,Oklahoma City,OD,5,2,1,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Oklahoma,Tulsa,OG,3,2,0,
3/30/2025,14,Retail Stores,Cox Owned Retail,Digital Store,Central,Oklahoma,Tulsa,OG,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Oklahoma,Oklahoma City,OJ,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Oklahoma,Oklahoma City,OL,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,Florida/Georgia,Pensacola,PC,8,7,0,
3/30/2025,14,Retail Stores,Cox Owned Retail,Digital Store,East,Florida/Georgia,Pensacola,PC,1,1,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,Florida/Georgia,Pensacola,PE,2,1,,
3/30/2025,13,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,West,California,San Diego,PW,5,5,0,
3/30/2025,14,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,West,California,San Diego,PW,1,1,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,New England/Cleveland,Rhode Island,RI,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,New England/Cleveland,Rhode Island,RJ,3,3,1,1
3/30/2025,14,Retail Stores,Cox Owned Retail,Digital Store,East,New England/Cleveland,Rhode Island,RJ,1,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,New England/Cleveland,Rhode Island,RK,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,New England/Cleveland,Rhode Island,RL,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,California,Orange County,SG,1,1,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,California,San Diego,SG,11,9,1,1
3/30/2025,14,Retail Stores,Cox Owned Retail,Digital Store,West,California,San Diego,SG,1,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,California,San Diego,SH,5,2,0,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,California,San Diego,SI,6,6,1,1
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,California,San Diego,SJ,1,1,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Las Vegas,Las Vegas,VC,1,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Las Vegas,Las Vegas,VD,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Las Vegas,Las Vegas,VE,0,,,
3/31/2025,13,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,Central,Louisiana,New Orleans,02,3,1,0,
3/31/2025,14,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,Central,Louisiana,New Orleans,02,1,1,,
3/31/2025,13,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,Central,Louisiana,Greater Louisiana,05,0,0,0,
3/31/2025,14,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,Central,Louisiana,Greater Louisiana,05,1,,,
3/31/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,California,Orange County,3B,8,5,0,
3/31/2025,14,Retail Stores,Cox Owned Retail,Digital Store,West,California,Orange County,3B,3,2,1,1
3/31/2025,13,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,West,Arizona,Phoenix,3Q,6,4,0,
3/31/2025,14,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,West,Arizona,Phoenix,3Q,1,,,
3/31/2025,13,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,West,Las Vegas,Las Vegas,3W,8,6,0,
3/31/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Central Region,Omaha/Sun Valley,3X,0,,,
3/31/2025,13,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,Central,Central Region,Omaha/Sun Valley,8D,1,,1,1
3/31/2025,13,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,Central,Louisiana,New Orleans,8D,2,,,
3/31/2025,13,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,Central,Louisiana,Greater Louisiana,8D,4,,,
3/31/2025,13,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,Central,Oklahoma,Oklahoma City,8D,1,,,
3/31/2025,13,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,East,Florida/Georgia,Macon,8D,1,,,
3/31/2025,13,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,East,Virginia,Hampton Roads,8D,3,,,
3/31/2025,13,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,East,Virginia,Roanoke,8D,1,,,
3/31/2025,13,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,West,Arizona,Phoenix,8D,0,,,
3/31/2025,13,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,West,Las Vegas,Las Vegas,8D,2,,,
3/31/2025,14,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,Central,Louisiana,Greater Louisiana,8D,1,,,
3/31/2025,14,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,Central,Oklahoma,Oklahoma City,8D,2,,,
3/31/2025,14,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,East,Florida/Georgia,Gainesville/Ocala,8D,0,,,
3/31/2025,14,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,East,Virginia,Hampton Roads,8D,1,,,
3/31/2025,14,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,East,Virginia,Northern Virginia,8D,1,,,
3/31/2025,14,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,West,Las Vegas,Las Vegas,8D,1,,,
3/31/2025,15,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,East,Florida/Georgia,Gainesville/Ocala,8D,1,,,
3/31/2025,15,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,East,Virginia,Hampton Roads,8D,1,,,
3/31/2025,15,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,West,Las Vegas,Las Vegas,8D,0,,,
3/31/2025,17,Inbound,Inbound,DTA - Outbound Sales - Eng - Cox,West,Las Vegas,Las Vegas,8D,0,,,
3/31/2025,13,Inbound,Inbound,Inbound Leadership Support-Cox,Central,Central Region,Omaha/Sun Valley,A0,0,,,
3/31/2025,13,Inbound,Inbound,Inbound Leadership Support-Cox,Central,Louisiana,Greater Louisiana,A0,0,,,
3/31/2025,13,Inbound,Inbound,Inbound Leadership Support-Cox,East,Virginia,Hampton Roads,A0,0,,,
3/31/2025,13,Inbound,Inbound,Inbound Leadership Support-Cox,East,Virginia,Northern Virginia,A0,0,,,
3/31/2025,13,Inbound,Inbound,Inbound Sales English - Cox,Central,Central Region,Omaha/Sun Valley,A1,16,12,2,1
3/31/2025,13,Inbound,Inbound,Inbound Sales English - Cox,Central,Central Region,Kansas/NW Arkansas,A1,45,28,5,3
3/31/2025,13,Inbound,Inbound,Inbound Sales English - Cox,Central,Louisiana,New Orleans,A1,30,18,5,4
3/31/2025,13,Inbound,Inbound,Inbound Sales English - Cox,Central,Louisiana,Greater Louisiana,A1,35,16,7,4
3/31/2025,13,Inbound,Inbound,Inbound Sales English - Cox,Central,Oklahoma,Oklahoma City,A1,41,31,2,2
3/31/2025,13,Inbound,Inbound,Inbound Sales English - Cox,Central,Oklahoma,Tulsa,A1,19,11,3,
3/31/2025,13,Inbound,Inbound,Inbound Sales English - Cox,East,Florida/Georgia,Macon,A1,8,6,2,1
3/31/2025,13,Inbound,Inbound,Inbound Sales English - Cox,East,Florida/Georgia,Pensacola,A1,10,4,1,
3/31/2025,13,Inbound,Inbound,Inbound Sales English - Cox,East,Florida/Georgia,Gainesville/Ocala,A1,14,5,,
